"","date","location","state","latitude","longitude"
"87","2020/08/20","Dresden","Sachsen",51.0504088,13.7372621
"88","2020/08/20","Wittstock","Brandenburg",53.1631855,12.4859969
"89","2020/08/20","Potsdam","Brandenburg",52.3905689,13.0644729
"90","2020/08/20","Beverstadt","Niedersachsen",53.4317865,8.8211116
"91","2020/08/20","Blankenburg","Sachsen-Anhalt",51.8164261,10.9773091
"92","2020/08/20","Nauen","Brandenburg",52.6069165,12.8814887
"93","2020/08/20","Essen","Nordrhein-Westfalen",51.4556432,7.0115552
"94","2020/08/20","Heidesee","Brandenburg",52.2495142,13.7814957
"95","2020/08/19","Bernau","Brandenburg",52.6874845,13.5672765
"96","2020/08/19","Oranienburg","Brandenburg",52.7557351,13.2408643
"97","2020/08/19","Dortmund","Nordrhein-Westfalen",51.5135872,7.4652981
"98","2020/08/19","Beelen","Nordrhein-Westfalen",51.9296777,8.1130748
"99","2020/08/18","Freiberg","Sachsen",50.9160943,13.3468175
"100","2020/08/18","Neustrelitz","Mecklenburg-Vorpommern",53.3601147,13.0730197
"101","2020/08/18","Friedrichshafen","Baden-Württemberg",47.6567329,9.4649538
"102","2020/08/17","Dresden","Sachsen",51.0504088,13.7372621
"103","2020/08/17","Angermünde","Brandenburg",53.0145422,13.996593
"104","2020/08/17","Angermünde","Brandenburg",53.0145422,13.996593
"105","2020/08/16","Schmalkalden","Thüringen",50.7234272,10.4546019
"106","2020/08/16","Potsdam","Brandenburg",52.3905689,13.0644729
"107","2020/08/15","Berlin","Berlin",52.5200066,13.404954
"108","2020/08/15","Stuttgart","Baden-Württemberg",48.7758459,9.1829321
"109","2020/08/15","Bornhagen","Thüringen",51.3447954,9.9433959
"110","2020/08/15","München","Bayern",48.1351253,11.5819806
"111","2020/08/15","Trier","Rheinland-Pfalz",49.749992,6.6371433
"112","2020/08/15","Rommerskirchen","Nordrhein-Westfalen",51.0349879,6.6894908
"113","2020/08/15","Trier","Rheinland-Pfalz",49.749992,6.6371433
"114","2020/08/14","Nordhausen","Thüringen",51.4983551,10.7931122
"115","2020/08/13","Adelschlag","Bayern",48.8395987,11.2185762
"116","2020/08/13","Bad Aibling","Bayern",47.8640182,12.0093171
"117","2020/08/13","Neukirchen","Bayern",48.9752784,12.7556822
"118","2020/08/13","Finsterwalde","Brandenburg",51.6302792,13.7085021
"119","2020/08/12","Immendingen","Baden-Württemberg",47.9383007,8.7347452
"120","2020/08/12","Dießen","Bayern",47.9479298,11.1032858
"121","2020/08/12","Stolberg","Sachsen",50.7091847,12.7750105
"122","2020/08/12","Suhl","Thüringen",50.6076846,10.6881255
"123","2020/08/12","Hoppegarten","Brandenburg",52.5145302,13.6741027
"124","2020/08/11","Zehdenick","Brandenburg",52.9791731,13.3378948
"125","2020/08/11","Gefrees","Bayern",50.0960073,11.7365825
"126","2020/08/11","Schlitz","Hessen",50.6758597,9.5627324
"127","2020/08/11","Cottbus","Brandenburg",51.7563108,14.3328679
