,date,muni_name,month,year,Federal State,latitude,longitude
90,2015-03-26,Magdeburg,3,2015,NA,52.1205333,11.6276237
91,2015-03-27,Beilstein,3,2015,NA,49.0417163,9.3129536
92,2015-03-27,Beselich,3,2015,NA,50.457689,8.124687
93,2015-03-27,Erfurt,3,2015,NA,50.9847679,11.0298799
94,2015-03-28,Meißen,3,2015,NA,51.1617842,13.4976592
95,2015-03-31,Reutlingen,3,2015,NA,48.4912389,9.2046411
96,2015-04-01,Oranienbaum-Wörlitz,4,2015,NA,51.798169,12.4046194
97,2015-04-01,Bocholt,4,2015,NA,51.8384277,6.6150917
98,2015-04-02,Hilchenbach,4,2015,NA,50.9967407,8.1111636
99,2015-04-03,Wismar,4,2015,NA,53.8879706,11.4621371
100,2015-04-04,Haldensleben,4,2015,NA,52.2827293,11.4170506
101,2015-04-04,Elsteraue,4,2015,NA,51.0762299,12.2063922
102,2015-04-04,Upgant-Schott,4,2015,NA,53.5143574,7.2672822
103,2015-04-04,Übach-Palenberg,4,2015,NA,50.919128,6.1186928
104,2015-04-05,Swisttal,4,2015,NA,50.6923636,6.9222034
105,2015-04-06,Sindelfingen,4,2015,NA,48.7074558,9.0044053
106,2015-04-06,Gießen,4,2015,NA,50.5840512,8.6784031
107,2015-04-08,Jena,4,2015,NA,50.927054,11.5892372
108,2015-04-10,Hofheim am Taunus,4,2015,NA,50.0841829,8.4432295
109,2015-04-11,Gransee,4,2015,NA,53.0047002,13.1559502
110,2015-04-11,Berlin,4,2015,NA,52.5200066,13.404954
111,2015-04-12,Magdeburg,4,2015,NA,52.1205333,11.6276237
112,2015-04-13,Hepberg,4,2015,NA,48.822745,11.4612756
113,2015-04-13,Oberlungwitz,4,2015,NA,50.7864334,12.7238345
114,2015-04-14,Moers,4,2015,NA,51.4516041,6.6408148
115,2015-04-14,Bedburg,4,2015,NA,50.989348,6.5711524
116,2015-04-15,Eberswalde,4,2015,NA,52.837133,13.7875871
117,2015-04-15,Duisburg,4,2015,NA,51.4344079,6.7623293
118,2015-04-16,Solingen,4,2015,NA,51.1652199,7.0671161
119,2015-04-17,Neuruppin,4,2015,NA,52.9211097,12.8002556
120,2015-04-18,Eberswalde,4,2015,NA,52.837133,13.7875871
121,2015-04-18,Zehdenick,4,2015,NA,52.9791731,13.3378948
122,2015-04-18,Solingen,4,2015,NA,51.1652199,7.0671161
123,2015-04-19,Gifhorn,4,2015,NA,52.4809091,10.5507829
124,2015-04-19,Münster,4,2015,NA,51.9606649,7.6261347
125,2015-04-20,Berlin,4,2015,NA,52.5200066,13.404954
126,2015-04-21,Hamburg,4,2015,NA,53.5488282,9.9871703
127,2015-04-22,Brand-Erbisdorf,4,2015,NA,50.8666883,13.3236602
128,2015-04-23,Scheßlitz,4,2015,NA,49.9745037,11.0335991
129,2015-04-24,Weiskirchen,4,2015,NA,49.5556107,6.8189587
130,2015-04-26,Berlin,4,2015,NA,52.5200066,13.404954
131,2015-04-26,Mühlhausen/Thüringen,4,2015,NA,51.2106556,10.4659026
132,2015-04-28,Geretsried,4,2015,NA,47.8552232,11.4871747
133,2015-04-29,Oberlungwitz,4,2015,NA,50.7864334,12.7238345
134,2015-04-30,Zossen,4,2015,NA,52.2169747,13.453792
135,2015-04-30,Berlin,4,2015,NA,52.5200066,13.404954
136,2015-04-30,Erfurt,4,2015,NA,50.9847679,11.0298799
137,2015-05-01,Pfreimd,5,2015,NA,49.4896837,12.1797928
138,2015-05-01,Lengerich,5,2015,NA,52.1822998,7.8626385
139,2015-05-01,Freital,5,2015,NA,51.0008667,13.6512413
140,2015-05-02,Lenzen (Elbe),5,2015,NA,53.0973263,11.4785205
141,2015-05-03,Warmensteinach,5,2015,NA,49.9946518,11.7782413
142,2015-05-03,Hannover,5,2015,NA,52.3758916,9.7320104
143,2015-05-03,Bergisch Gladbach,5,2015,NA,50.9896479,7.1229789
144,2015-05-04,Lappersdorf,5,2015,NA,49.0487011,12.0893467
145,2015-05-06,Eschede,5,2015,NA,52.7339196,10.233842
146,2015-05-06,Limburgerhof,5,2015,NA,49.4207609,8.3900307
147,2015-05-06,Brodersby-Goltoft,5,2015,NA,54.5376413,9.7062165
148,2015-05-07,Coswig (Anhalt),5,2015,NA,51.8856504,12.4574435
149,2015-05-08,Göttingen,5,2015,NA,51.5412804,9.9158035
150,2015-05-08,Großrückerswalde,5,2015,NA,50.6296993,13.1176699
151,2015-05-09,Lenzen (Elbe),5,2015,NA,53.0973263,11.4785205
152,2015-05-09,Sontheim an der Brenz,5,2015,NA,48.5568355,10.2850447
153,2015-05-09,Oberhausen,5,2015,NA,51.4878429,6.863308
154,2015-05-10,Berlin,5,2015,NA,52.5200066,13.404954
155,2015-05-10,Hüllhorst,5,2015,NA,52.2701609,8.67466
156,2015-05-10,Schwerte,5,2015,NA,51.4289295,7.5656315
157,2015-05-10,Ludwigshafen am Rhein,5,2015,NA,49.4774018,8.4447451
158,2015-05-10,Buchen (Odenwald),5,2015,NA,49.5241354,9.3250344
159,2015-05-11,Worms,5,2015,NA,49.6341372,8.3507182
160,2015-05-11,Neustadt an der Weinstraße,5,2015,NA,49.3501864,8.1486886
161,2015-05-13,Göttingen,5,2015,NA,51.5412804,9.9158035
162,2015-05-14,Sangerhausen,5,2015,NA,51.4725415,11.2995045
163,2015-05-14,Potsdam,5,2015,NA,52.3905689,13.0644729
164,2015-05-14,Güstrow,5,2015,NA,53.8002129,12.1745703
165,2015-05-15,Berlin,5,2015,NA,52.5200066,13.404954
166,2015-05-15,Rostock,5,2015,NA,54.0924406,12.0991466
167,2015-05-15,Tostedt,5,2015,NA,53.2778837,9.7240138
168,2015-05-15,Hagen,5,2015,NA,51.3670777,7.4632841
169,2015-05-15,Freital,5,2015,NA,51.0008667,13.6512413
170,2015-05-16,Zossen,5,2015,NA,52.2169747,13.453792
171,2015-05-16,Hamburg,5,2015,NA,53.5488282,9.9871703
172,2015-05-17,Berlin,5,2015,NA,52.5200066,13.404954
173,2015-05-17,Wendlingen am Neckar,5,2015,NA,48.671757,9.3827676
174,2015-05-18,Güstrow,5,2015,NA,53.8002129,12.1745703
175,2015-05-18,Hannover,5,2015,NA,52.3758916,9.7320104
176,2015-05-23,Engen,5,2015,NA,47.854144,8.7737404
177,2015-05-23,Remscheid,5,2015,NA,51.1787418,7.1896962
178,2015-05-24,Hannover,5,2015,NA,52.3758916,9.7320104
179,2015-05-25,Berlin,5,2015,NA,52.5200066,13.404954
180,2015-05-28,Duisburg,5,2015,NA,51.4344079,6.7623293
181,2015-05-30,Rüthen,5,2015,NA,51.4925198,8.4369936
182,2015-05-30,Wuppertal,5,2015,NA,51.2562128,7.1507636
183,2015-05-30,Krempe,5,2015,NA,53.8368108,9.4901695
184,2015-05-31,Heidelberg,5,2015,NA,49.3987524,8.6724335
185,2015-05-31,Rüthen,5,2015,NA,51.4925198,8.4369936
186,2015-06-02,Woringen,6,2015,NA,47.9228317,10.2011253
187,2015-06-03,Neuenhagen bei Berlin,6,2015,NA,52.5254787,13.69619
188,2015-06-03,Hosenfeld,6,2015,NA,50.5051576,9.4792183
189,2015-06-03,Warstein,6,2015,NA,51.4491749,8.3557715
190,2015-06-03,Hoyerswerda,6,2015,NA,51.4388605,14.2536419
191,2015-06-04,Wuppertal,6,2015,NA,51.2562128,7.1507636
192,2015-06-05,Wismar,6,2015,NA,53.8879706,11.4621371
193,2015-06-05,Kellinghusen,6,2015,NA,53.9540255,9.7157793
194,2015-06-05,Hildburghausen,6,2015,NA,50.4263293,10.7312097
195,2015-06-06,Winterlingen,6,2015,NA,48.1787626,9.1178173
196,2015-06-08,Lauterbach (Hessen),6,2015,NA,50.6334203,9.3960153
197,2015-06-09,Möhnesee,6,2015,NA,51.47603,8.1231699
198,2015-06-09,Altenglan,6,2015,NA,49.5499296,7.4586492
199,2015-06-10,Cuxhaven,6,2015,NA,53.859336,8.6879057
200,2015-06-10,Meppen,6,2015,NA,52.6953479,7.2994007
201,2015-06-10,Weiskirchen,6,2015,NA,49.5556107,6.8189587
202,2015-06-11,Überlingen,6,2015,NA,47.7661746,9.1702772
203,2015-06-11,St. Ingbert,6,2015,NA,49.2774456,7.1118995
204,2015-06-12,Mansfeld,6,2015,NA,51.5981233,11.4587747
205,2015-06-12,Berlin,6,2015,NA,52.5200066,13.404954
206,2015-06-13,Frankfurt (Oder),6,2015,NA,52.3472237,14.5505673
207,2015-06-13,Asperg,6,2015,NA,48.9041527,9.1400293
208,2015-06-13,München,6,2015,NA,48.1351253,11.5819806
209,2015-06-13,Werne,6,2015,NA,51.665041,7.631431
210,2015-06-13,Dortmund,6,2015,NA,51.5135872,7.4652981
211,2015-06-13,Neukirch/Lausitz,6,2015,NA,51.0947498,14.3069437
212,2015-06-13,Dresden,6,2015,NA,51.0504088,13.7372621
213,2015-06-14,Hannover,6,2015,NA,52.3758916,9.7320104
214,2015-06-14,Essen,6,2015,NA,51.4556432,7.0115552
215,2015-06-15,Calw,6,2015,NA,48.7126752,8.7425205
216,2015-06-15,Obertrubach,6,2015,NA,49.695125,11.3462419
217,2015-06-16,Essen,6,2015,NA,51.4556432,7.0115552
218,2015-06-16,Jena,6,2015,NA,50.927054,11.5892372
219,2015-06-17,Bedburg,6,2015,NA,50.989348,6.5711524
220,2015-06-19,Oschersleben (Bode),6,2015,NA,52.0271323,11.22858
221,2015-06-20,Kiel,6,2015,NA,54.3232927,10.1227652
222,2015-06-20,Gotha,6,2015,NA,50.9474251,10.7097574
223,2015-06-22,Ilmenau,6,2015,NA,50.6843502,10.9254728
224,2015-06-23,Berlin,6,2015,NA,52.5200066,13.404954
225,2015-06-23,Berlin,6,2015,NA,52.5200066,13.404954
226,2015-06-24,Wandlitz,6,2015,NA,52.75422,13.47277
227,2015-06-25,Niederkassel,6,2015,NA,50.8153036,7.0376711
228,2015-06-26,Bamberg,6,2015,NA,49.8988135,10.9027636
229,2015-06-28,Lebach,6,2015,NA,49.4039607,6.9045054
230,2015-06-28,Meißen,6,2015,NA,51.1617842,13.4976592
231,2015-06-29,Lübeck,6,2015,NA,53.8654673,10.6865593
232,2015-06-30,Gemünden (Felda),6,2015,NA,50.6815418,9.0368491
233,2015-06-30,Mönchengladbach,6,2015,NA,51.1941686,6.4315392
234,2015-07-01,Mengerskirchen,7,2015,NA,50.564593,8.1541884
235,2015-07-01,Bramsche,7,2015,NA,52.4077183,8.0015624
236,2015-07-01,Lütjenburg,7,2015,NA,54.2941415,10.5864414
237,2015-07-02,Herscheid,7,2015,NA,51.17654,7.7480527
238,2015-07-04,Wittstock/Dosse,7,2015,NA,53.1631855,12.4859969
239,2015-07-04,Oelde,7,2015,NA,51.8297412,8.1463962
240,2015-07-04,Ludwigshafen am Rhein,7,2015,NA,49.4774018,8.4447451
241,2015-07-04,Belgern-Schildau,7,2015,NA,51.4823602,13.1255073
242,2015-07-05,Villingen-Schwenningen,7,2015,NA,48.0594021,8.4640869
243,2015-07-06,Wismar,7,2015,NA,53.8879706,11.4621371
244,2015-07-07,Schleswig,7,2015,NA,54.5249669,9.5608476
245,2015-07-08,Karlshuld,7,2015,NA,48.6822229,11.2870576
246,2015-07-09,Ingolstadt,7,2015,NA,48.7667395,11.4226498
247,2015-07-09,Hamburg,7,2015,NA,53.5488282,9.9871703
248,2015-07-10,Brandis,7,2015,NA,51.3329895,12.6086017
249,2015-07-11,Hamburg,7,2015,NA,53.5488282,9.9871703
250,2015-07-11,Ilmenau,7,2015,NA,50.6843502,10.9254728
251,2015-07-12,Mönchengladbach,7,2015,NA,51.1941686,6.4315392
252,2015-07-12,Saarbrücken,7,2015,NA,49.2381697,6.997547
253,2015-07-12,Böhlen,7,2015,NA,51.2006946,12.3870379
254,2015-07-13,Greifswald,7,2015,NA,54.0865463,13.3923414
255,2015-07-16,Schwedt/Oder,7,2015,NA,53.0624695,14.2734639
256,2015-07-16,Angermünde,7,2015,NA,53.0145422,13.996593
257,2015-07-16,Angermünde,7,2015,NA,53.0145422,13.996593
258,2015-07-16,Reichertshofen,7,2015,NA,48.6570298,11.4678498
259,2015-07-16,Marburg,7,2015,NA,50.8018843,8.7657677
260,2015-07-16,Rommerskirchen,7,2015,NA,51.0349879,6.6894908
261,2015-07-17,Schöngleina,7,2015,NA,50.9087835,11.7279067
262,2015-07-18,Remchingen,7,2015,NA,48.9517157,8.5742128
263,2015-07-18,Oppenweiler,7,2015,NA,48.9832962,9.4587063
264,2015-07-18,Neuötting,7,2015,NA,48.2400765,12.6907395
265,2015-07-18,Waldaschaff,7,2015,NA,49.9753851,9.2977537
266,2015-07-19,Halberstadt,7,2015,NA,51.8916475,11.0488695
267,2015-07-19,Halberstadt,7,2015,NA,51.8916475,11.0488695
268,2015-07-19,Müncheberg,7,2015,NA,52.5069173,14.1281615
269,2015-07-19,Enger,7,2015,NA,52.1394002,8.5582762
270,2015-07-19,Gütersloh,7,2015,NA,51.9032375,8.3857535
271,2015-07-19,Norderstedt,7,2015,NA,53.6993066,10.0008798
272,2015-07-20,Rendsburg,7,2015,NA,54.3080869,9.6606993
273,2015-07-20,Torgau,7,2015,NA,51.557934,12.991583
274,2015-07-21,München,7,2015,NA,48.1351253,11.5819806
275,2015-07-21,Rötha,7,2015,NA,51.1989974,12.4167256
276,2015-07-21,Freital,7,2015,NA,51.0008667,13.6512413
277,2015-07-22,Magdeburg,7,2015,NA,52.1205333,11.6276237
278,2015-07-22,Sangerhausen,7,2015,NA,51.4725415,11.2995045
279,2015-07-22,Krefeld,7,2015,NA,51.3345409,6.565208
280,2015-07-24,Stadtallendorf,7,2015,NA,50.8218537,9.0202151
281,2015-07-24,Essen,7,2015,NA,51.4556432,7.0115552
282,2015-07-25,Asperg,7,2015,NA,48.9041527,9.1400293
283,2015-07-25,Dorf Mecklenburg,7,2015,NA,53.8422543,11.4642255
284,2015-07-25,Gütersloh,7,2015,NA,51.9032375,8.3857535
285,2015-07-26,Erligheim,7,2015,NA,49.0194561,9.099407
286,2015-07-26,München,7,2015,NA,48.1351253,11.5819806
287,2015-07-26,Bochum,7,2015,NA,51.4818445,7.2162363
288,2015-07-26,Bornheim,7,2015,NA,50.759586,6.9821412
289,2015-07-26,Wiehl,7,2015,NA,50.9487426,7.5608848
290,2015-07-26,Dresden,7,2015,NA,51.0504088,13.7372621
291,2015-07-26,Dresden,7,2015,NA,51.0504088,13.7372621
292,2015-07-27,Lenzen (Elbe),7,2015,NA,53.0973263,11.4785205
293,2015-07-28,Oschersleben (Bode),7,2015,NA,52.0271323,11.22858
294,2015-07-28,Oschersleben (Bode),7,2015,NA,52.0271323,11.22858
295,2015-07-28,Lüneburg,7,2015,NA,53.2478704,10.4160637
296,2015-07-29,Weßling,7,2015,NA,48.0745018,11.2483111
297,2015-07-29,Erding,7,2015,NA,48.3058389,11.9068811
298,2015-07-29,Hambergen,7,2015,NA,53.3105028,8.8262166
299,2015-07-29,Lunzenau,7,2015,NA,50.9623091,12.7509711
300,2015-07-29,Dresden,7,2015,NA,51.0504088,13.7372621
301,2015-07-30,Königsbronn,7,2015,NA,48.7428048,10.1123751
302,2015-07-30,Stadtallendorf,7,2015,NA,50.8218537,9.0202151
303,2015-07-30,Herne,7,2015,NA,51.5368948,7.2009147
304,2015-07-30,Bergheim,7,2015,NA,50.9451945,6.6555022
305,2015-07-31,Nauen,7,2015,NA,52.6069165,12.8814887
306,2015-07-31,Lunzenau,7,2015,NA,50.9623091,12.7509711
307,2015-07-31,Niesky,7,2015,NA,51.2931501,14.8311719
308,2015-08-01,Berlin,8,2015,NA,52.5200066,13.404954
309,2015-08-01,Hamburg,8,2015,NA,53.5488282,9.9871703
310,2015-08-01,Wismar,8,2015,NA,53.8879706,11.4621371
311,2015-08-01,Dörverden,8,2015,NA,52.8469714,9.2275543
312,2015-08-01,Ibbenbüren,8,2015,NA,52.2767721,7.7189947
313,2015-08-01,Koblenz,8,2015,NA,50.3569429,7.5889959
314,2015-08-02,Elsteraue,8,2015,NA,51.0762299,12.2063922
315,2015-08-02,Berlin,8,2015,NA,52.5200066,13.404954
316,2015-08-02,Bad Tabarz,8,2015,NA,50.8784811,10.5115698
317,2015-08-03,Bad Windsheim,8,2015,NA,49.5031221,10.4147863
318,2015-08-03,Bitburg,8,2015,NA,49.9664145,6.5298603
319,2015-08-04,Bad Tabarz,8,2015,NA,50.8784811,10.5115698
320,2015-08-05,München,8,2015,NA,48.1351253,11.5819806
321,2015-08-05,Frankfurt am Main,8,2015,NA,50.1109221,8.6821267
322,2015-08-05,Linnich,8,2015,NA,50.977773,6.268931
323,2015-08-05,Rietberg,8,2015,NA,51.8167441,8.434179
324,2015-08-05,Ense,8,2015,NA,51.5078471,7.9683377
325,2015-08-06,Neuss,8,2015,NA,51.2041968,6.6879511
326,2015-08-06,Hagen,8,2015,NA,51.3670777,7.4632841
327,2015-08-06,Kiel,8,2015,NA,54.3232927,10.1227652
328,2015-08-07,Magdeburg,8,2015,NA,52.1205333,11.6276237
329,2015-08-07,Nahrendorf,8,2015,NA,53.1743585,10.8182864
330,2015-08-07,Stolberg (Rhld.),8,2015,NA,50.7730884,6.2251934
331,2015-08-07,Bochum,8,2015,NA,51.4818445,7.2162363
332,2015-08-07,Düsseldorf,8,2015,NA,51.2230411,6.7824545
333,2015-08-07,Hilden,8,2015,NA,51.1678567,6.9352253
334,2015-08-07,Erftstadt,8,2015,NA,50.7948075,6.7774607
