"state","year","constituency","constituency_url","afd","cdu","gruene","spd","fdp","die_linke","csu"
"Baden-Wurttemberg                    ",2016,"1 Stuttgart I","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=1 Stuttgart I",3.3,17.9,44.8,9.4,10.1,7.5,NA
"Baden-Wurttemberg                    ",2016,"2 Stuttgart II","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=2 Stuttgart II",4.9,21.7,39.8,10,12.9,4.4,NA
"Baden-Wurttemberg                    ",2016,"3 Stuttgart III","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=3 Stuttgart III",8,24.3,33.9,12.2,10.6,4.8,NA
"Baden-Wurttemberg                    ",2016,"4 Stuttgart IV","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=4 Stuttgart IV",5.8,21.5,35.6,13.2,9.7,7,NA
"Baden-Wurttemberg                    ",2016,"5 Böblingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=5 Böblingen",9.4,25.3,31.4,13.1,11.4,2.3,NA
"Baden-Wurttemberg                    ",2016,"6 Leonberg","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=6 Leonberg",8.2,26,32.7,10.6,11.7,2.3,NA
"Baden-Wurttemberg                    ",2016,"7 Esslingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=7 Esslingen",7.2,23.8,35.7,14.2,9.4,3.8,NA
"Baden-Wurttemberg                    ",2016,"8 Kirchheim","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=8 Kirchheim",9.5,24.4,33.1,12.6,10.3,2.8,NA
"Baden-Wurttemberg                    ",2016,"9 Nürtingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=9 Nürtingen",9.1,21.6,38.8,9.2,11.6,2.6,NA
"Baden-Wurttemberg                    ",2016,"10 Göppingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=10 Göppingen",12.3,26.5,28.8,12.3,8.9,2.1,NA
"Baden-Wurttemberg                    ",2016,"11 Geislingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=11 Geislingen",11.5,27.9,27.5,14.4,10.3,2.3,NA
"Baden-Wurttemberg                    ",2016,"12 Ludwigsburg","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=12 Ludwigsburg",8.7,22.2,34.6,12.1,11.2,4.2,NA
"Baden-Wurttemberg                    ",2016,"13 Vaihingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=13 Vaihingen",8.6,24.8,34.9,9.2,11.1,2.7,NA
"Baden-Wurttemberg                    ",2016,"14 Bietigheim-Bissingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=14 Bietigheim-Bissingen",9.2,24.5,34.2,10.6,10.9,2.8,NA
"Baden-Wurttemberg                    ",2016,"15 Waiblingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=15 Waiblingen",8.1,25.1,30,10.8,13.3,3.1,NA
"Baden-Wurttemberg                    ",2016,"16 Schorndorf","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=16 Schorndorf",9.9,24.2,29.7,10.4,16.3,2.6,NA
"Baden-Wurttemberg                    ",2016,"17 Backnang","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=17 Backnang",12.1,23.2,24,19,10.5,2.4,NA
"Baden-Wurttemberg                    ",2016,"18 Heilbronn","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=18 Heilbronn",12,23,30,11.6,12.3,3.6,NA
"Baden-Wurttemberg                    ",2016,"19 Eppingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=19 Eppingen",13.7,24.5,26.3,11.1,13.4,2.6,NA
"Baden-Wurttemberg                    ",2016,"20 Neckarsulm","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=20 Neckarsulm",13.9,25,27.4,12.7,9.9,3,NA
"Baden-Wurttemberg                    ",2016,"21 Hohenlohe","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=21 Hohenlohe",14.1,24.4,28.7,11.9,10.9,2.8,NA
"Baden-Wurttemberg                    ",2016,"22 Schwäbisch Hall","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=22 Schwäbisch Hall",12.5,23.2,28.7,11.3,13.1,3.3,NA
"Baden-Wurttemberg                    ",2016,"23 Main-Tauber","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=23 Main-Tauber",10.6,29.5,27.1,10.4,8.4,2.4,NA
"Baden-Wurttemberg                    ",2016,"24 Heidenheim","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=24 Heidenheim",11.4,22.4,25.8,20.2,7.6,2.6,NA
"Baden-Wurttemberg                    ",2016,"25 Schwäbisch Gmünd","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=25 Schwäbisch Gmünd",12,25.8,30.1,10.8,10.8,3.4,NA
"Baden-Wurttemberg                    ",2016,"26 Aalen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=26 Aalen",9.5,29.8,25,10,9.1,2.7,NA
"Baden-Wurttemberg                    ",2016,"27 Karlsruhe I","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=27 Karlsruhe I",6.7,17.5,39.1,11.8,8.2,6.9,NA
"Baden-Wurttemberg                    ",2016,"28 Karlsruhe II","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=28 Karlsruhe II",7.5,18.4,38.6,12,7.3,6.7,NA
"Baden-Wurttemberg                    ",2016,"29 Bruchsal","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=29 Bruchsal",13.2,27.1,26.3,11.8,9.7,2.6,NA
"Baden-Wurttemberg                    ",2016,"30 Bretten","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=30 Bretten",11.2,23,32,10.8,11.4,2.8,NA
"Baden-Wurttemberg                    ",2016,"31 Ettlingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=31 Ettlingen",9.5,24.2,33.5,11.8,10.2,2.8,NA
"Baden-Wurttemberg                    ",2016,"32 Rastatt","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=32 Rastatt",12.6,23.8,30.3,13.6,8,2.8,NA
"Baden-Wurttemberg                    ",2016,"33 Baden-Baden","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=33 Baden-Baden",8.9,27.8,32.6,11.1,8.8,2.7,NA
"Baden-Wurttemberg                    ",2016,"34 Heidelberg","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=34 Heidelberg",5.2,15.3,41.7,12.7,7,8.4,NA
"Baden-Wurttemberg                    ",2016,"35 Mannheim I","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=35 Mannheim I",12.7,15.2,27.8,21.7,6.7,6.2,NA
"Baden-Wurttemberg                    ",2016,"36 Mannheim II","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=36 Mannheim II",7.9,16.7,35.9,15.9,9.3,5.5,NA
"Baden-Wurttemberg                    ",2016,"37 Wiesloch","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=37 Wiesloch",11.2,26.6,29.7,12.1,9.4,2.8,NA
"Baden-Wurttemberg                    ",2016,"38 Neckar-Odenwald","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=38 Neckar-Odenwald",12.3,31.6,23.7,12.2,7.9,2.4,NA
"Baden-Wurttemberg                    ",2016,"39 Weinheim","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=39 Weinheim",7.9,22.6,35.6,13.4,8.6,3.6,NA
"Baden-Wurttemberg                    ",2016,"40 Schwetzingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=40 Schwetzingen",10.4,23.6,31.3,14.8,8.2,3.1,NA
"Baden-Wurttemberg                    ",2016,"41 Sinsheim","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=41 Sinsheim",11,25.9,29.3,13.8,9.1,2.9,NA
"Baden-Wurttemberg                    ",2016,"42 Pforzheim","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=42 Pforzheim",15.8,20.1,26.2,10.1,16.1,3.3,NA
"Baden-Wurttemberg                    ",2016,"43 Calw","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=43 Calw",13.5,28.8,27.1,7.8,10,2.7,NA
"Baden-Wurttemberg                    ",2016,"44 Enz","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=44 Enz",12.9,19.5,30.9,9.5,17,2.3,NA
"Baden-Wurttemberg                    ",2016,"45 Freudenstadt","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=45 Freudenstadt",13.2,27.3,24.7,8.4,14.8,2.2,NA
"Baden-Wurttemberg                    ",2016,"46 Freiburg I","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=46 Freiburg I",5.1,19.4,40.2,11.2,7.5,6.8,NA
"Baden-Wurttemberg                    ",2016,"47 Freiburg II","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=47 Freiburg II",5.8,13.3,40.3,12.7,5.9,11.2,NA
"Baden-Wurttemberg                    ",2016,"48 Breisgau","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=48 Breisgau",7,23.9,37.7,10.3,9,3.7,NA
"Baden-Wurttemberg                    ",2016,"49 Emmendingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=49 Emmendingen",7.2,21.8,36.2,11.5,10.1,3.4,NA
"Baden-Wurttemberg                    ",2016,"50 Lahr","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=50 Lahr",10,24.5,33.1,10.4,10.2,2.6,NA
"Baden-Wurttemberg                    ",2016,"51 Offenburg","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=51 Offenburg",8.3,25.4,36.8,8.6,8.9,2.9,NA
"Baden-Wurttemberg                    ",2016,"52 Kehl","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=52 Kehl",9.7,27.1,31.4,8.7,9.4,2.6,NA
"Baden-Wurttemberg                    ",2016,"53 Rottweil","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=53 Rottweil",12.8,26.7,26,7.3,16.2,2.6,NA
"Baden-Wurttemberg                    ",2016,"54 Villingen-Schwenningen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=54 Villingen-Schwenningen",11.3,22.5,34.6,9.1,12.2,2.4,NA
"Baden-Wurttemberg                    ",2016,"55 Tuttlingen-Donaueschingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=55 Tuttlingen-Donaueschingen",12.9,29.3,28.1,6.9,13.4,2.6,NA
"Baden-Wurttemberg                    ",2016,"56 Konstanz","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=56 Konstanz",5.8,18.2,42.1,8.4,12.1,5.4,NA
"Baden-Wurttemberg                    ",2016,"57 Singen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=57 Singen",11.3,21.5,32.1,12.3,11.7,3,NA
"Baden-Wurttemberg                    ",2016,"58 Lörrach","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=58 Lörrach",7.9,21.4,35.8,12.6,10.3,3,NA
"Baden-Wurttemberg                    ",2016,"59 Waldshut","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=59 Waldshut",9.9,22.9,37.1,9.6,10.2,2.7,NA
"Baden-Wurttemberg                    ",2016,"60 Reutlingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=60 Reutlingen",9.5,22,36.2,10.2,11.3,3.7,NA
"Baden-Wurttemberg                    ",2016,"61 Hechingen-Münsingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=61 Hechingen-Münsingen",12.2,25,31.6,8.9,12.6,2.6,NA
"Baden-Wurttemberg                    ",2016,"62 Tübingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=62 Tübingen",6.5,20.5,39,11.6,7.6,6.7,NA
"Baden-Wurttemberg                    ",2016,"63 Balingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=63 Balingen",12.2,32.6,26.5,7.8,10,2.4,NA
"Baden-Wurttemberg                    ",2016,"64 Ulm","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=64 Ulm",7.4,22.9,36.5,13.2,7.8,4.3,NA
"Baden-Wurttemberg                    ",2016,"65 Ehingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=65 Ehingen",10.1,35.9,29.5,7,8.2,2.1,NA
"Baden-Wurttemberg                    ",2016,"66 Biberach","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=66 Biberach",10,34.1,28.9,5.8,8.1,2.2,NA
"Baden-Wurttemberg                    ",2016,"67 Bodensee","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=67 Bodensee",8.6,21.9,36.8,8.5,13.3,3.1,NA
"Baden-Wurttemberg                    ",2016,"68 Wangen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=68 Wangen",9.5,30.6,31.3,6.5,8.9,2.7,NA
"Baden-Wurttemberg                    ",2016,"69 Ravensburg","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=69 Ravensburg",8.7,23.7,33.1,8.2,11.5,3.4,NA
"Baden-Wurttemberg                    ",2016,"70 Sigmaringen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=70 Sigmaringen",11.2,27.8,32.6,6.2,12.1,2.4,NA
"Baden-Wurttemberg                    ",2021,"1 Stuttgart I","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=1 Stuttgart I",7,18.9,42.4,10.7,9.7,7.3,NA
"Baden-Wurttemberg                    ",2021,"2 Stuttgart II","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=2 Stuttgart II",10.6,24.4,37.2,10.6,10.7,3.3,NA
"Baden-Wurttemberg                    ",2021,"3 Stuttgart III","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=3 Stuttgart III",15.3,23.5,30.7,12.9,9.1,4.4,NA
"Baden-Wurttemberg                    ",2021,"4 Stuttgart IV","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=4 Stuttgart IV",12,22.2,34.4,13.5,8,5.9,NA
"Baden-Wurttemberg                    ",2021,"5 Böblingen","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=5 Böblingen",16.5,27.6,27.7,13.8,8.9,2.4,NA
"Baden-Wurttemberg                    ",2021,"6 Leonberg","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=6 Leonberg",14.9,27.5,31.9,11.3,9.5,2.2,NA
"Baden-Wurttemberg                    ",2021,"7 Esslingen","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=7 Esslingen",12.2,26,32.3,16.4,6.8,2.8,NA
"Baden-Wurttemberg                    ",2021,"8 Kirchheim","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=8 Kirchheim",14.2,26.5,30.5,14.1,8.2,1.8,NA
"Baden-Wurttemberg                    ",2021,"9 Nürtingen","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=9 Nürtingen",14.4,25.2,34.9,10.5,9.1,2.1,NA
"Baden-Wurttemberg                    ",2021,"10 Göppingen","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=10 Göppingen",17.4,23.4,29.1,14.8,8.3,2.1,NA
"Baden-Wurttemberg                    ",2021,"11 Geislingen","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=11 Geislingen",16,28.2,27.8,15.3,7.6,1.8,NA
"Baden-Wurttemberg                    ",2021,"12 Ludwigsburg","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=12 Ludwigsburg",15,23.2,33.5,13,8.9,2.9,NA
"Baden-Wurttemberg                    ",2021,"13 Vaihingen","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=13 Vaihingen",14.1,27,33.1,11.5,9,2.2,NA
"Baden-Wurttemberg                    ",2021,"14 Bietigheim-Bissingen","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=14 Bietigheim-Bissingen",15,25.7,32.1,13,9.2,2.3,NA
"Baden-Wurttemberg                    ",2021,"15 Waiblingen","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=15 Waiblingen",14.7,26.2,27.8,13.8,11.4,2.7,NA
"Baden-Wurttemberg                    ",2021,"16 Schorndorf","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=16 Schorndorf",15.4,25.8,27.1,12.6,12.6,2.2,NA
"Baden-Wurttemberg                    ",2021,"17 Backnang","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=17 Backnang",19.7,27.7,22.3,15.7,8,2.1,NA
"Baden-Wurttemberg                    ",2021,"18 Heilbronn","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=18 Heilbronn",18.2,22.7,27.1,15,10.2,2.9,NA
"Baden-Wurttemberg                    ",2021,"19 Eppingen","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=19 Eppingen",18.3,26.6,26.1,13.4,9.6,2.1,NA
"Baden-Wurttemberg                    ",2021,"20 Neckarsulm","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=20 Neckarsulm",18.7,25.8,23.8,17.6,8.1,2.5,NA
"Baden-Wurttemberg                    ",2021,"21 Hohenlohe","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=21 Hohenlohe",17.1,28.1,27.1,11.5,10,2.4,NA
"Baden-Wurttemberg                    ",2021,"22 Schwäbisch Hall","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=22 Schwäbisch Hall",17.8,23,27.5,14,11.3,2.4,NA
"Baden-Wurttemberg                    ",2021,"23 Main-Tauber","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=23 Main-Tauber",17.2,35.4,21.3,11.5,7.5,2.8,NA
"Baden-Wurttemberg                    ",2021,"24 Heidenheim","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=24 Heidenheim",17.2,25.1,26.1,19.4,5.7,2.9,NA
"Baden-Wurttemberg                    ",2021,"25 Schwäbisch Gmünd","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=25 Schwäbisch Gmünd",16.2,31.4,25.6,13.6,7.1,2.8,NA
"Baden-Wurttemberg                    ",2021,"26 Aalen","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=26 Aalen",14.4,35.4,25.8,12.2,6.2,3.1,NA
"Baden-Wurttemberg                    ",2021,"27 Karlsruhe I","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=27 Karlsruhe I",12,21.2,36.2,13.2,7.7,4.8,NA
"Baden-Wurttemberg                    ",2021,"28 Karlsruhe II","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=28 Karlsruhe II",13.9,21,35.1,13.4,6.7,4.9,NA
"Baden-Wurttemberg                    ",2021,"29 Bruchsal","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=29 Bruchsal",19.7,30,24.2,11.9,8.2,2.4,NA
"Baden-Wurttemberg                    ",2021,"30 Bretten","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=30 Bretten",18.5,27.2,27.5,12.1,8.3,2.2,NA
"Baden-Wurttemberg                    ",2021,"31 Ettlingen","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=31 Ettlingen",14,28.8,29.5,13.8,8.5,2.5,NA
"Baden-Wurttemberg                    ",2021,"32 Rastatt","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=32 Rastatt",17.6,25.6,26.4,17.6,6.2,2.3,NA
"Baden-Wurttemberg                    ",2021,"33 Baden-Baden","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=33 Baden-Baden",14.5,29.3,32.7,10,8.5,2.4,NA
"Baden-Wurttemberg                    ",2021,"34 Heidelberg","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=34 Heidelberg",10.9,19.2,41,12.1,8,6.1,NA
"Baden-Wurttemberg                    ",2021,"35 Mannheim I","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=35 Mannheim I",23,17.2,21.9,22.2,6,5.1,NA
"Baden-Wurttemberg                    ",2021,"36 Mannheim II","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=36 Mannheim II",14.4,20.9,31.4,16.8,8.4,4.5,NA
"Baden-Wurttemberg                    ",2021,"37 Wiesloch","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=37 Wiesloch",18.6,28.4,28.2,12.3,7.4,2.6,NA
"Baden-Wurttemberg                    ",2021,"38 Neckar-Odenwald","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=38 Neckar-Odenwald",18,34.2,19.7,15.2,7,2.3,NA
"Baden-Wurttemberg                    ",2021,"39 Weinheim","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=39 Weinheim",15.2,25.8,29.2,15.3,8.8,3,NA
"Baden-Wurttemberg                    ",2021,"40 Schwetzingen","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=40 Schwetzingen",19.1,25,26.6,15.4,7,3,NA
"Baden-Wurttemberg                    ",2021,"41 Sinsheim","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=41 Sinsheim",18,26.6,26.8,15,7.7,2.7,NA
"Baden-Wurttemberg                    ",2021,"42 Pforzheim","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=42 Pforzheim",24.2,22.4,24.1,11.4,10.6,3.4,NA
"Baden-Wurttemberg                    ",2021,"43 Calw","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=43 Calw",19.1,31.5,24.3,11.6,8.1,2.2,NA
"Baden-Wurttemberg                    ",2021,"44 Enz","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=44 Enz",19.2,24.7,26.9,12.3,10.4,2,NA
"Baden-Wurttemberg                    ",2021,"45 Freudenstadt","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=45 Freudenstadt",17.6,30.3,21.3,10.8,13.5,1.9,NA
"Baden-Wurttemberg                    ",2021,"46 Freiburg I","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=46 Freiburg I",8.4,25.5,39,11.7,7.5,4.8,NA
"Baden-Wurttemberg                    ",2021,"47 Freiburg II","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=47 Freiburg II",10.7,17.2,40.5,13.8,6.1,7.7,NA
"Baden-Wurttemberg                    ",2021,"48 Breisgau","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=48 Breisgau",11.5,27.8,35.1,12.2,7.4,2.6,NA
"Baden-Wurttemberg                    ",2021,"49 Emmendingen","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=49 Emmendingen",11.6,24.5,35.5,13.4,7.5,2.7,NA
"Baden-Wurttemberg                    ",2021,"50 Lahr","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=50 Lahr",15,28,30.7,13,6.7,2.4,NA
"Baden-Wurttemberg                    ",2021,"51 Offenburg","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=51 Offenburg",14.1,28.4,33.7,10.6,7.4,2.2,NA
"Baden-Wurttemberg                    ",2021,"52 Kehl","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=52 Kehl",15,30.8,28.7,12.2,8.1,2.3,NA
"Baden-Wurttemberg                    ",2021,"53 Rottweil","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=53 Rottweil",16.4,33,26,8.6,8.5,1.9,NA
"Baden-Wurttemberg                    ",2021,"54 Villingen-Schwenningen","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=54 Villingen-Schwenningen",14.8,29,31.6,10,7.9,2,NA
"Baden-Wurttemberg                    ",2021,"55 Tuttlingen-Donaueschingen","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=55 Tuttlingen-Donaueschingen",15.9,33.7,27,8.8,8.3,2.1,NA
"Baden-Wurttemberg                    ",2021,"56 Konstanz","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=56 Konstanz",9.4,22.6,39.6,12.2,9.1,3.9,NA
"Baden-Wurttemberg                    ",2021,"57 Singen","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=57 Singen",15.7,27.8,28.8,12.8,8.3,2.2,NA
"Baden-Wurttemberg                    ",2021,"58 Lörrach","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=58 Lörrach",13.2,25.2,31.7,16.7,6.5,2.7,NA
"Baden-Wurttemberg                    ",2021,"59 Waldshut","https://www.election.de/cgi-bin/showcandres_bw16.pl?land=bw16&wahlkreis=59 Waldshut",12.3,30.8,30.4,12.3,7.4,2.2,NA
